title,source_country,date,url,clean_text,headline_length_words,month
Gazzenin Tarihsel Arka Planı ve 7 Ekime Giden Süreç - Dr . Bilal TANRIVERDİ,Turkey,2026-03-03 07:15:00,https://www.risalehaber.com/bilal-tanriverdi-gazzenin-tarihsel-arka-plani-ve-7-ekime-giden-surec-28702yy.htm,gazzenin tarihsel arka planı ve 7 ekime giden süreç dr bilal tanriverdi,12,2026-03
Filistin merkezli insan hakları derneği direktörünün Fransaya girişi engellendi,Turkey,2026-04-16 12:00:00,https://www.haberler.com/guncel/fransa-insan-haklari-savunucusu-jabarin-in-ulkeye-girisini-engelledi-19755094-haberi/,filistin merkezli insan hakları derneği direktörünün fransaya girişi engellendi,9,2026-04
İsrailin Batı Şeriada daha çok Filistin toprağı gasbederek 34 yeni yerleşim kararı aldığı bildirildi,Turkey,2026-04-09 12:15:00,https://www.internethaber.com/israilin-bati-seriada-daha-cok-filistin-topragi-gasbederek-34-yeni-yerlesim-karari-aldigi-bildirildi-2438699h.htm,i srailin batı şeriada daha çok filistin toprağı gasbederek 34 yeni yerleşim kararı aldığı bildirildi,15,2026-04
Cumhurbaşkanı Erdoğan :  Diplomasi ve müzakerenin yerini füze ve bombaların aldığı böyle bir ortamda kimse güvende değildir  İhlas Haber Ajansı,Turkey,2026-04-16 22:00:00,https://www.iha.com.tr/istanbul-haberleri/cumhurbaskani-erdogan-diplomasi-ve-muzakerenin-yerini-fuze-ve-bombalarin-aldigi-boyle-bir-ortamda-kimse-guvende-degildir-409089532,cumhurbaşkanı erdoğan diplomasi ve müzakerenin yerini füze ve bombaların aldığı böyle bir ortamda kimse güvende değildir i hlas haber ajansı,20,2026-04
Almanya - İsrail arasında  Batı Şeria  tartışması,Turkey,2026-04-14 12:30:00,https://www.aa.com.tr/tr/dunya/almanya-israil-arasinda-bati-seria-tartismasi/3905088,almanya i srail arasında batı şeria tartışması,7,2026-04
"Joint Statement by the Foreign Ministers of Türkiye , Brazil , Denmark , Egypt , France , Finland , Iceland , Indonesia , Ireland , Jordan , Luxembourg , Norway , Palestine , Portugal , Qatar , Saudi Arabia , Slovenia , Spain , Sweden along with the ...",Turkey,2026-03-02 14:00:00,https://www.mfa.gov.tr/joint-statement-by-the-foreign-ministers-of-turkiye----23-february-2026.en.mfa,joint statement by the foreign ministers of türkiye brazil denmark egypt france finland iceland indonesia ireland jordan luxembourg norway palestine portugal qatar saudi arabia slovenia spain sweden along with the,30,2026-03
Küresel Sumud Parlamenterler Kongresinde  İsraile karşı siyasi olarak harekete geçme  çağrısı,Turkey,2026-04-22 14:00:00,https://www.haksozhaber.net/kuresel-sumud-parlamenterler-kongresinde-israile-karsi-siyasi-olarak-harekete-gecme--203621h.htm,küresel sumud parlamenterler kongresinde i sraile karşı siyasi olarak harekete geçme çağrısı,12,2026-04
"İsrail , soykırımı eleştiren dünyaca ünlü isimler için liste hazırladı ! Komedyenler , sosyal medya fenomenleri , aktivistler ... ",Turkey,2026-04-15 08:00:00,https://www.milliyet.com.tr/dunya/son-dakika-israil-soykirimi-elestiren-dunyaca-unlu-isimler-icin-liste-hazirladi-komedyenler-sosyal-medya-fenomenleri-aktivistler-7571644,i srail soykırımı eleştiren dünyaca ünlü isimler için liste hazırladı komedyenler sosyal medya fenomenleri aktivistler,15,2026-04
Filistin topraklarını gasbeden İsraillilerin açtığı ateş sonucu Batı Şeriada 2 Filistinli hayatını kaybetti,Turkey,2026-03-08 05:30:00,https://www.haberler.com/guncel/ramallah-ta-israil-saldirisinda-2-filistinli-hayatini-kaybetti-19635905-haberi/,filistin topraklarını gasbeden i sraillilerin açtığı ateş sonucu batı şeriada 2 filistinli hayatını kaybetti,14,2026-03
"İsrail , Nablusta bir kız okuluna saldırdı",Turkey,2026-03-21 11:00:00,https://www.birgun.net/haber/israil-nablusta-bir-kiz-okuluna-saldirdi-700660,i srail nablusta bir kız okuluna saldırdı,7,2026-03
